user_id,ndcg_A,ndcg_B,delta
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.43067655807339306,0.43067655807339306
5,0.0,0.0,0.0
6,0.5,0.0,-0.5
7,0.0,0.6309297535714575,0.6309297535714575
8,0.0,0.6309297535714575,0.6309297535714575
9,0.3010299956639812,1.0,0.6989700043360187
10,0.31546487678572877,1.0,0.6845351232142712
11,0.0,0.31546487678572877,0.31546487678572877
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.5,0.3333333333333333,-0.16666666666666669
15,0.3010299956639812,0.38685280723454163,0.08582281157056043
16,0.0,0.43067655807339306,0.43067655807339306
17,0.0,0.0,0.0
18,0.0,0.6309297535714575,0.6309297535714575
19,0.5,0.0,-0.5
20,0.0,0.6309297535714575,0.6309297535714575
21,1.0,0.5,-0.5
22,0.3333333333333333,1.0,0.6666666666666667
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,1.0,1.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.43067655807339306,0.38685280723454163,-0.04382375083885143
30,0.0,0.38685280723454163,0.38685280723454163
31,0.0,0.5,0.5
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.31546487678572877,0.31546487678572877
35,0.0,1.0,1.0
36,0.0,0.5,0.5
37,0.0,1.0,1.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.6309297535714575,0.6309297535714575
41,0.0,0.31546487678572877,0.31546487678572877
42,0.5,0.3562071871080222,-0.14379281289197782
43,0.0,0.0,0.0
44,0.0,0.6309297535714575,0.6309297535714575
45,0.0,0.43067655807339306,0.43067655807339306
46,0.0,0.6309297535714575,0.6309297535714575
47,0.0,0.5,0.5
48,0.0,0.6309297535714575,0.6309297535714575
49,0.31546487678572877,0.6309297535714575,0.31546487678572877
50,0.0,1.0,1.0
51,0.0,1.0,1.0
52,0.0,0.43067655807339306,0.43067655807339306
53,0.0,0.6309297535714575,0.6309297535714575
54,0.0,0.3333333333333333,0.3333333333333333
55,0.0,0.6309297535714575,0.6309297535714575
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.38685280723454163,0.38685280723454163
59,0.0,0.38685280723454163,0.38685280723454163
60,0.0,0.38685280723454163,0.38685280723454163
61,0.0,0.0,0.0
62,1.0,0.2890648263178879,-0.7109351736821121
63,0.0,0.43067655807339306,0.43067655807339306
64,0.0,1.0,1.0
65,0.0,0.0,0.0
66,0.6309297535714575,0.0,-0.6309297535714575
67,0.0,0.5,0.5
68,0.0,1.0,1.0
69,0.0,0.6309297535714575,0.6309297535714575
70,0.0,0.3333333333333333,0.3333333333333333
71,0.0,0.6309297535714575,0.6309297535714575
72,0.0,0.0,0.0
73,0.0,0.6309297535714575,0.6309297535714575
74,0.0,0.31546487678572877,0.31546487678572877
75,0.3333333333333333,1.0,0.6666666666666667
76,0.6309297535714575,0.2890648263178879,-0.34186492725356965
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.6309297535714575,0.6309297535714575
80,0.0,1.0,1.0
81,0.0,1.0,1.0
82,0.0,0.0,0.0
83,0.6309297535714575,0.6309297535714575,0.0
84,0.3562071871080222,1.0,0.6437928128919779
85,0.0,0.0,0.0
86,0.5,0.3010299956639812,-0.1989700043360188
87,0.0,0.5,0.5
88,0.43067655807339306,0.5,0.06932344192660694
89,0.0,1.0,1.0
90,0.0,1.0,1.0
91,0.0,0.0,0.0
92,0.0,0.3010299956639812,0.3010299956639812
93,0.3562071871080222,0.6309297535714575,0.27472256646343535
94,0.3010299956639812,0.3010299956639812,0.0
95,0.0,0.3333333333333333,0.3333333333333333
96,1.0,1.0,0.0
97,0.6309297535714575,0.0,-0.6309297535714575
98,0.0,0.43067655807339306,0.43067655807339306
99,0.0,0.0,0.0
100,0.0,1.0,1.0
101,0.0,0.38685280723454163,0.38685280723454163
102,0.0,1.0,1.0
103,0.0,0.43067655807339306,0.43067655807339306
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.5,0.5
107,0.0,0.0,0.0
108,0.0,0.3562071871080222,0.3562071871080222
109,0.0,1.0,1.0
110,0.0,1.0,1.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.6309297535714575,0.0,-0.6309297535714575
114,0.0,0.6309297535714575,0.6309297535714575
115,0.0,0.5,0.5
116,0.0,0.38685280723454163,0.38685280723454163
117,0.0,0.0,0.0
118,0.0,0.38685280723454163,0.38685280723454163
119,0.0,1.0,1.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.38685280723454163,0.38685280723454163
123,0.0,0.6309297535714575,0.6309297535714575
124,0.0,0.0,0.0
125,0.0,0.5,0.5
126,0.3333333333333333,0.0,-0.3333333333333333
127,0.0,0.0,0.0
128,0.0,0.38685280723454163,0.38685280723454163
